,Date,BTC,ETH,XRP,S&P500,Nifty50,gold,usd
22,2015-09-10,238.4770050048828,1.1657700538635254,0.0076626800000667,1952.29,7788.1,1109.5,95.46
23,2015-09-11,240.10699462890625,0.9829779863357544,0.0084442496299743,1961.05,7789.3,1103.5,95.19
24,2015-09-14,230.6439971923828,0.8756219744682312,0.0074040400795638,1953.03,7872.25,1107.699951,95.25
25,2015-09-15,230.3040008544922,0.9444100260734558,0.0077195498161017,1978.09,7829.1,1102.800049,95.61
26,2015-09-16,229.09100341796875,0.9071750044822692,0.0074256598018109,1995.31,7899.15,1119.199951,95.42
27,2015-09-18,232.9750061035156,0.8536850214004517,0.0075289998203516,1958.03,7981.9,1138.099976,94.86
28,2015-09-21,227.0850067138672,0.9190469980239868,0.0072466898709535,1966.97,7977.1,1133.099976,95.89
29,2015-09-22,230.6179962158203,0.9017959833145142,0.007167540024966,1942.74,7812.0,1125.0,96.28
30,2015-09-23,230.2830047607422,0.8934059739112854,0.0066682398319244,1938.76,7845.95,1131.599976,96.07
31,2015-09-24,234.5290069580078,0.8136100172996521,0.0067096999846398,1932.24,7868.5,1153.800049,96.69
32,2015-09-28,239.1419982910156,0.5828859806060791,0.0062934998422861,1881.77,7795.7,1132.0,96.03
33,2015-09-29,236.6869964599609,0.6611459851264954,0.0055793500505387,1884.09,7843.3,1127.099976,95.86
34,2015-09-30,236.05999755859372,0.738644003868103,0.0055201700888574,1920.03,7948.9,1115.5,96.35
35,2015-10-01,237.5489959716797,0.690214991569519,0.0054482701234519,1923.82,7950.9,1114.199951,96.19
36,2015-10-05,240.38299560546875,0.6286429762840271,0.005007570143789,1987.05,8119.3,1138.099976,96.11
37,2015-10-06,246.06300354003903,0.6506450176239014,0.0053281700238585,1979.92,8152.9,1146.800049,95.45
38,2015-10-07,242.968994140625,0.609387993812561,0.0053750700317323,1995.83,8177.4,1149.0,95.5
39,2015-10-08,242.3040008544922,0.6217160224914551,0.0050309100188314,2013.43,8129.35,1144.699951,95.32
40,2015-10-09,243.93099975585935,0.6506279706954956,0.0049827699549496,2014.89,8189.7,1156.300049,94.81
41,2015-10-12,245.30799865722656,0.6260300278663635,0.0052601802162826,2017.46,8143.6,1164.900024,94.84
42,2015-10-13,249.50799560546875,0.6076549887657166,0.0053765000775456,2003.69,8131.7,1165.800049,94.76
43,2015-10-14,251.98899841308597,0.5229679942131042,0.0054183299653232,1994.24,8107.9,1180.099976,93.93
44,2015-10-15,254.32000732421875,0.5618780255317688,0.0053991801105439,2023.86,8179.5,1187.900024,94.37
45,2015-10-16,262.8689880371094,0.5364949703216553,0.00539754005149,2033.11,8238.15,1183.599976,94.54
46,2015-10-19,263.43701171875,0.4890139997005462,0.0050432002171874,2033.66,8275.05,1173.300049,94.93
47,2015-10-20,269.4630126953125,0.4348289966583252,0.0047310697846114,2030.77,8261.65,1178.0,94.91
48,2015-10-21,266.2720031738281,0.4473290145397186,0.0046972599811851,2018.94,8251.7,1167.599976,95.03
49,2015-10-23,276.4960021972656,0.5396569967269897,0.0046768100000917,2075.15,8295.45,1163.300049,97.13
50,2015-10-26,285.29998779296875,0.7313169836997986,0.0046748300082981,2071.18,8260.55,1167.0,96.86
51,2015-10-27,293.7879943847656,0.8696410059928894,0.0046493201516568,2065.89,8232.9,1166.800049,96.91
52,2015-10-28,304.6180114746094,1.0024800300598145,0.0046751899644732,2090.35,8171.2,1177.099976,97.78
53,2015-10-29,313.8550109863281,1.2066600322723389,0.0046341498382389,2089.41,8111.75,1147.199951,97.28
54,2015-10-30,328.0150146484375,1.04121994972229,0.0048390198498964,2079.36,8065.8,1141.5,96.95
55,2015-11-02,361.1889953613281,0.9897890090942384,0.0051561198197305,2104.05,8050.8,1135.800049,96.93
56,2015-11-03,403.4169921875,1.0133600234985352,0.0053830100223422,2109.79,8060.7,1114.199951,97.16
57,2015-11-04,411.56298828125,0.8990499973297119,0.0049473801627755,2102.31,8040.2,1106.5,97.95
58,2015-11-05,386.35400390625,0.8956369757652283,0.0045057199895381,2099.93,7955.45,1104.400024,97.94
59,2015-11-06,374.4700012207031,0.92603200674057,0.0045622298493981,2099.2,7954.3,1087.599976,99.17
60,2015-11-09,380.2569885253906,0.9992780089378356,0.0046092099510133,2078.58,7915.2,1087.900024,98.98
61,2015-11-10,336.8190002441406,0.9343479871749878,0.0044058798812329,2081.72,7783.35,1088.199951,99.29
62,2015-11-11,311.0840148925781,0.791828989982605,0.0042637600563466,2075.0,7825.0,1084.699951,99.01
63,2015-11-13,336.75299072265625,0.9040960073471068,0.0044773900881409,2023.04,7762.25,1080.800049,99.0
64,2015-11-16,330.7510070800781,0.928961992263794,0.0042344098910689,2053.19,7806.6,1083.699951,99.44
65,2015-11-17,335.093994140625,1.0079799890518188,0.0042503802105784,2050.44,7837.55,1068.699951,99.63
66,2015-11-18,334.5899963378906,0.9933189749717712,0.0042582000605762,2083.58,7731.8,1068.800049,99.65
67,2015-11-19,326.14898681640625,0.9555320143699646,0.0042224498465657,2081.24,7842.75,1078.0,98.99
68,2015-11-20,322.0220031738281,0.9249200224876404,0.004227050114423,2089.17,7856.55,1076.400024,99.56
69,2015-11-23,323.0459899902344,0.9469689726829528,0.0042882300913333,2086.59,7849.25,1066.800049,99.8
70,2015-11-24,320.0459899902344,0.9001910090446472,0.0042417901568114,2089.14,7831.6,1074.300049,99.53
71,2015-11-27,358.0419921875,0.867950975894928,0.0042761000804603,2090.11,7942.7,1056.199951,100.02
72,2015-11-30,377.3210144042969,0.8731189966201782,0.0042011002078652,2080.41,7935.25,1065.800049,100.17
73,2015-12-01,362.4880065917969,0.8748000264167786,0.0040900697931647,2102.63,7954.9,1063.800049,99.8
74,2015-12-02,359.18701171875,0.8212100267410278,0.0041729398071765,2079.51,7931.35,1054.199951,99.99
75,2015-12-03,361.0459899902344,0.8121430277824402,0.0042622098699212,2049.62,7864.15,1061.699951,97.62
76,2015-12-04,363.1830139160156,0.8400409817695618,0.0047544399276375,2091.69,7781.9,1084.5,98.35
77,2015-12-07,395.5360107421875,0.8112639784812927,0.0055599398910999,2077.07,7765.4,1076.400024,98.66
78,2015-12-08,415.56298828125,0.8221179842948914,0.0067751598544418,2063.59,7701.7,1076.300049,98.47
79,2015-12-09,417.56298828125,0.7921670079231262,0.008523030206561,2047.62,7612.5,1077.599976,97.34
80,2015-12-10,415.47900390625,0.840395987033844,0.0084441499784588,2052.23,7683.3,1073.099976,97.94
81,2015-12-11,451.93798828125,0.9297620058059692,0.0084406603127717,2012.37,7610.45,1076.900024,97.56
82,2015-12-14,444.1820068359375,0.9930220246315002,0.0076142298057675,2021.94,7650.05,1064.699951,97.6
83,2015-12-15,465.3210144042969,1.0141500234603882,0.006684280000627,2043.41,7700.9,1062.900024,98.22
84,2015-12-16,454.9339904785156,0.991182029247284,0.006755200214684,2073.07,7750.9,1078.0,97.87
85,2015-12-17,456.0780029296875,0.9407010078430176,0.0066943098790943,2041.89,7844.35,1050.800049,99.27
86,2015-12-18,463.6159973144531,0.920126974582672,0.0063865301199257,2005.55,7761.95,1066.199951,98.7
87,2015-12-21,438.6390075683594,0.9007710218429564,0.0062687401659786,2021.15,7834.45,1081.900024,98.36
88,2015-12-22,436.5719909667969,0.8642020225524902,0.0061928499490022,2038.97,7786.1,1074.800049,98.23
89,2015-12-23,442.4010009765625,0.8580769896507263,0.0060214800760149,2064.29,7865.95,1069.400024,98.34
90,2015-12-24,454.9849853515625,0.8632619976997375,0.00597068015486,2060.99,7861.05,1077.199951,97.98
91,2015-12-28,422.2789916992188,0.8450049757957458,0.0063402098603546,2056.5,7925.15,1070.5,97.92
92,2015-12-29,432.9830017089844,0.873054027557373,0.0062643298879265,2078.36,7928.95,1077.5,98.1
93,2015-12-30,426.6199951171875,0.9119579792022704,0.0061817499808967,2063.36,7896.25,1060.099976,98.27
94,2015-12-31,430.5669860839844,0.933542013168335,0.0060403901152312,2043.94,7946.35,1060.300049,98.63
95,2016-01-04,433.0910034179688,0.954479992389679,0.0059577501378953,2012.66,7791.3,1075.099976,98.87
96,2016-01-05,431.9599914550781,0.9501760005950928,0.0060443300753831,2016.71,7784.65,1078.400024,99.4
97,2016-01-06,429.1050109863281,0.9508600234985352,0.0060032899491488,1990.26,7741.0,1091.900024,99.18
98,2016-01-07,458.0480041503906,0.9420049786567688,0.0060391798615455,1943.09,7568.3,1107.699951,98.22
99,2016-01-08,453.2300109863281,0.9867889881134032,0.0059333099052309,1922.03,7601.35,1097.800049,98.54
100,2016-01-11,448.4280090332031,1.0615999698638916,0.0058946600183844,1923.67,7563.85,1096.5,98.72
101,2016-01-12,435.6900024414063,1.1410000324249268,0.005854379851371,1938.68,7510.3,1085.599976,98.97
102,2016-01-13,432.3710021972656,1.1252000331878662,0.0057936399243772,1890.28,7562.4,1087.5,98.93
103,2016-01-14,430.3059997558594,1.1895899772644043,0.0055293599143624,1921.84,7536.8,1073.900024,99.09
104,2016-01-15,364.33099365234375,1.208009958267212,0.0052293301559984,1880.33,7437.8,1091.5,98.96
105,2016-01-19,380.1489868164063,1.3713899850845337,0.0052707102149724,1881.33,7435.1,1089.900024,98.99
106,2016-01-20,420.2300109863281,1.5318200588226318,0.0053808698430657,1859.33,7309.3,1107.099976,99.09
107,2016-01-21,410.2619934082031,1.553570032119751,0.0053125699050724,1868.99,7276.8,1099.099976,99.06
108,2016-01-22,382.4920043945313,1.501270055770874,0.0051143700256943,1906.9,7422.45,1097.199951,99.57
109,2016-01-25,391.72601318359375,2.499269962310791,0.0051346500404179,1877.08,7436.15,1106.199951,99.36
110,2016-01-27,394.9719848632813,2.388550043106079,0.0065058800391852,1882.95,7437.75,1116.099976,98.9
111,2016-01-28,380.28900146484375,2.5264899730682373,0.0062259598635137,1893.36,7424.65,1115.599976,98.51
112,2016-01-29,379.4739990234375,2.494960069656372,0.0068395398557186,1940.24,7563.55,1116.400024,99.61
113,2016-02-01,373.0559997558594,2.2116899490356445,0.0065417098812758,1939.38,7555.95,1127.900024,99.01
114,2016-02-02,374.447998046875,2.439640045166016,0.0067682699300348,1903.03,7455.55,1127.300049,98.87
115,2016-02-03,369.9490051269531,2.5286900997161865,0.0068825599737465,1912.53,7361.8,1141.300049,97.29
116,2016-02-04,389.593994140625,2.5780398845672607,0.0069704600609838,1915.45,7404.0,1157.599976,96.47
117,2016-02-05,386.5490112304688,2.538990020751953,0.007262079976499,1880.05,7489.1,1157.800049,97.03
118,2016-02-08,373.4469909667969,3.1797900199890137,0.0079908203333616,1853.44,7387.25,1197.900024,96.57
119,2016-02-09,376.0289916992188,4.044640064239502,0.0078154196962714,1852.21,7298.2,1198.699951,96.07
120,2016-02-10,381.6489868164063,4.436260223388672,0.0078534595668315,1851.86,7215.7,1194.699951,95.89
121,2016-02-11,379.6539916992188,6.0131001472473145,0.0078151803463697,1829.08,6976.35,1247.900024,95.56
122,2016-02-12,384.2630004882813,5.546979904174805,0.0079793902114033,1864.78,6980.95,1239.099976,95.94
123,2016-02-16,407.4880065917969,4.315289974212647,0.0084508899599313,1895.58,7048.25,1207.900024,96.87
124,2016-02-17,416.3219909667969,3.757240056991577,0.008137909695506,1926.82,7108.45,1211.099976,96.79
125,2016-02-18,422.37298583984375,4.399129867553711,0.0079952999949455,1917.83,7191.75,1226.099976,96.95
126,2016-02-19,420.7850036621094,4.737889766693115,0.0082447500899434,1917.78,7210.75,1230.400024,96.6
127,2016-02-22,437.74798583984375,5.616499900817871,0.0080503104254603,1945.5,7234.55,1209.5,97.38
128,2016-02-23,420.7359924316406,5.586209774017334,0.0079696895554661,1921.27,7109.55,1222.300049,97.48
129,2016-02-24,424.9549865722656,6.2364702224731445,0.0080760903656482,1929.8,7018.7,1238.699951,97.46
130,2016-02-25,424.54400634765625,6.104800224304199,0.0080273495987057,1951.7,6970.6,1238.199951,97.29
131,2016-02-26,432.1520080566406,5.921669960021973,0.0080579295754432,1948.05,7029.75,1219.800049,98.15
132,2016-02-29,437.6969909667969,6.336989879608154,0.0079225599765777,1932.23,6987.05,1233.900024,98.21
133,2016-03-01,435.12298583984375,7.653689861297607,0.0080056600272655,1978.35,7222.3,1230.300049,98.35
134,2016-03-02,423.989013671875,8.4653902053833,0.00803017988801,1986.45,7368.85,1241.099976,98.21
135,2016-03-03,421.6510009765625,9.294150352478027,0.0081616202369332,1993.4,7475.6,1257.400024,97.59
136,2016-03-04,410.9389953613281,10.406000137329102,0.0080960299819707,1999.99,7485.35,1269.900024,97.34
137,2016-03-08,413.9719848632813,9.847209930419922,0.0079493699595332,1979.26,7485.3,1262.099976,97.21
138,2016-03-09,414.8599853515625,11.89799976348877,0.0080562802031636,1989.26,7531.8,1256.599976,97.17
139,2016-03-10,417.1310119628906,11.30500030517578,0.008190450258553,1989.57,7486.15,1272.0,96.07
140,2016-03-11,421.6900024414063,11.082799911499023,0.0088027799502015,2022.19,7510.2,1258.699951,96.17
141,2016-03-14,416.43798828125,12.45259952545166,0.0084789600223302,2019.64,7538.75,1244.400024,96.62
142,2016-03-15,416.8299865722656,13.010000228881836,0.0081857200711965,2015.93,7460.6,1230.400024,96.63
143,2016-03-16,417.010986328125,12.520899772644045,0.0081784501671791,2027.22,7498.75,1229.300049,95.89
144,2016-03-17,420.6210021972656,11.081500053405762,0.0082865804433822,2040.59,7512.55,1264.5,94.76
145,2016-03-18,409.5480041503906,10.99810028076172,0.0081192599609494,2049.58,7604.35,1253.800049,95.09
146,2016-03-21,413.3070068359375,11.864100456237791,0.0080470796674489,2051.6,7704.25,1243.800049,95.29
147,2016-03-22,418.0889892578125,11.274800300598145,0.0081100203096866,2049.8,7714.9,1248.199951,95.65
148,2016-03-23,418.0409851074219,12.41670036315918,0.0083315195515751,2036.71,7716.5,1223.699951,96.05
149,2016-03-28,424.2309875488281,11.665599822998049,0.0075636301189661,2037.05,7615.1,1219.900024,95.94
150,2016-03-29,416.5159912109375,11.656399726867676,0.0075656902045011,2055.01,7597.0,1235.599976,95.16
151,2016-03-30,414.8160095214844,11.952899932861328,0.0073318597860634,2063.95,7735.2,1226.900024,94.84
152,2016-03-31,416.72900390625,11.403499603271484,0.0073914797976613,2059.74,7738.4,1234.199951,94.59
153,2016-04-01,417.9599914550781,11.663599967956545,0.0074178101494908,2072.78,7713.05,1222.199951,94.62
154,2016-04-04,421.4440002441406,11.157299995422363,0.0074911201372742,2066.13,7758.8,1218.0,94.51
155,2016-04-05,424.0299987792969,10.43809986114502,0.0074741798453032,2045.17,7603.2,1228.400024,94.63
156,2016-04-06,423.4129943847656,10.685400009155272,0.0072961798869073,2066.66,7614.35,1222.5,94.43
157,2016-04-07,422.7449951171875,10.069700241088867,0.0068754898384213,2041.91,7546.45,1236.199951,94.48
158,2016-04-08,420.3489990234375,9.719590187072754,0.0066707697696983,2047.6,7555.2,1242.5,94.23
159,2016-04-11,422.4830017089844,8.643790245056152,0.0060482597909867,2041.99,7671.4,1256.699951,93.95
160,2016-04-12,425.1900024414063,7.442309856414795,0.0058850799687206,2061.72,7708.95,1259.400024,93.96
161,2016-04-13,423.7340087890625,8.04442024230957,0.0056946799159049,2082.42,7850.45,1246.800049,94.74
162,2016-04-18,428.5910034179688,9.03600025177002,0.0069869300350546,2094.34,7914.7,1233.599976,94.49
163,2016-04-20,441.3890075683594,8.465789794921875,0.0072440798394382,2102.4,7914.75,1253.199951,94.49
164,2016-04-21,449.4249877929688,8.10216999053955,0.0074334498494863,2091.48,7912.05,1249.0,94.6
165,2016-04-22,445.7369995117188,7.82125997543335,0.0072838398627936,2091.58,7899.3,1228.699951,95.12
166,2016-04-25,461.4259948730469,7.55433988571167,0.0072830701246857,2087.79,7855.05,1238.900024,94.84
167,2016-04-26,466.0889892578125,7.397039890289307,0.0070952298119664,2091.7,7962.65,1242.199951,94.57
168,2016-04-27,444.68701171875,7.759970188140869,0.0067246998660266,2095.15,7979.9,1249.199951,94.39
169,2016-04-28,449.010986328125,7.172530174255371,0.0066864201799035,2075.81,7847.25,1265.5,93.76
170,2016-04-29,455.0969848632813,7.457290172576904,0.0067592901177704,2065.3,7849.8,1289.199951,93.08
171,2016-05-02,444.66900634765625,10.163200378417969,0.0067141097970306,2081.43,7805.9,1294.699951,92.63
172,2016-05-03,450.3039855957031,9.311269760131836,0.0065600001253187,2063.37,7747.0,1290.699951,92.94
173,2016-05-04,446.7219848632813,9.413769721984863,0.0063227801583707,2051.12,7706.55,1273.300049,93.18
174,2016-05-05,447.97601318359375,9.82610034942627,0.0061927298083901,2050.63,7735.5,1271.400024,93.78
175,2016-05-06,459.6029968261719,9.346639633178713,0.0063985800370574,2057.14,7733.45,1292.900024,93.89
176,2016-05-09,460.4830017089844,9.297730445861816,0.006398799829185,2058.69,7866.05,1265.599976,94.13
177,2016-05-10,450.8949890136719,9.361519813537598,0.0062724300660192,2084.39,7887.8,1263.900024,94.29
178,2016-05-11,452.7279968261719,9.9962797164917,0.0061885002069175,2064.46,7848.85,1274.599976,93.82
